icd_10_code,diagnosis_name
S0025,"Dilation of Right Foot Artery with Two Intraluminal Devices, Open Approach"
M9968,"Release Perineum Muscle, External Approach"
S65319A,"Restriction of Left Vertebral Artery, Percutaneous Endoscopic Approach"
M11121,"Dilation of Left External Jugular Vein with Intraluminal Device, Percutaneous Approach"
S06827S,"Drainage of Right Hand Tendon with Drainage Device, Percutaneous Endoscopic Approach"
S72399F,"Removal of Extraluminal Device from Trachea, Open Approach"
S37022S,"Reposition Left Orbit, Percutaneous Endoscopic Approach"
S85182,"Imaging, Male Reproductive System, Magnetic Resonance Imaging (MRI)"
N8352,"Supplement Middle Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach"
Y3652,"Drainage of Right Shoulder Muscle, Open Approach"
P0738,"Drainage of Right Spermatic Cord, Open Approach, Diagnostic"
B458,"Revision of Infusion Device in Stomach, Percutaneous Endoscopic Approach"
S62109G,"Bypass Left Renal Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S0911,"Removal of Drainage Device from Sacrococcygeal Joint, External Approach"
S83401A,"Supplement Right Atrium with Zooplastic Tissue, Percutaneous Approach"
S52271A,"Removal of Drainage Device from Right Carpal Joint, Open Approach"
S8256XG,"Extraction of Cervical Plexus, Percutaneous Endoscopic Approach"
Q562,"Removal of Infusion Device from Uterus and Cervix, Percutaneous Approach"
S31130D,"Drainage of Thoracic Nerve, Percutaneous Approach, Diagnostic"
E55,"Supplement Gastric Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
S12290G,"Drainage of Left External Jugular Vein, Percutaneous Endoscopic Approach"
D6861,"Extirpation of Matter from Right Lower Leg Tendon, Percutaneous Endoscopic Approach"
S60911,"Fusion of Occipital-cervical Joint with Nonautologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Approach"
T7401XS,"Reposition Right Shoulder Muscle, Percutaneous Endoscopic Approach"
T22249,"Dilation of Left Renal Vein, Open Approach"
S82134Q,"Supplement Left Knee Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
H1804,"Reposition Sacrococcygeal Joint, External Approach"
S63220S,"Extirpation of Matter from Left Ankle Joint, Open Approach"
T434X4,"Excision of Right Ulna, Percutaneous Approach, Diagnostic"
O070,"Reposition Left Tibia with Ring External Fixation Device, Percutaneous Approach"
S32591B,"Restriction of Right Lower Extremity Lymphatic, Percutaneous Approach"
T23119S,"Inspection of Left Sacroiliac Joint, Percutaneous Endoscopic Approach"
O6989X0,"Bypass Pulmonary Trunk from Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
S38232D,"Measurement of Cardiac Electrical Activity, Percutaneous Approach"
S83122S,Muscle Performance Assessment of Musculoskeletal System - Whole Body using Orthosis
T22132D,"Drainage of Cervix with Drainage Device, Percutaneous Endoscopic Approach"
S80869,Beam Radiation of Ileum using Photons 1 - 10 MeV
T63452A,"Reposition Colic Vein, Open Approach"
S99092B,"Alteration of Right Shoulder Region, Open Approach"
S299XXS,"Bypass Left External Iliac Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S61259,"Dilation of Right Subclavian Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
F11951,"Restriction of Right Internal Iliac Artery with Intraluminal Device, Open Approach"
T22329D,"Dilation of Left Posterior Tibial Artery with Drug-eluting Intraluminal Device, Open Approach"
I350,"Removal of Synthetic Substitute from Hepatobiliary Duct, Via Natural or Artificial Opening Endoscopic"
S83212D,"Bypass Right Kidney Pelvis to Right Kidney Pelvis, Open Approach"
M21622,"Fusion of Right Hip Joint with Nonautologous Tissue Substitute, Open Approach"
S34124,Plaque Radiation of Larynx
S27431D,"Bypass Right External Iliac Artery to Left Internal Iliac Artery, Open Approach"
V4303XS,"Drainage of Left Frontal Sinus with Drainage Device, Open Approach"
G476,"Inspection of Mediastinum, Percutaneous Approach"
Z11,"Insertion of Other Device into Head, Percutaneous Endoscopic Approach"
H05339,"Destruction of Right Carpal, Percutaneous Endoscopic Approach"
T380X5S,"Supplement Right Foot Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S11032A,"Drainage of Face, Percutaneous Approach, Diagnostic"
S62131D,"Repair Left Hip Muscle, Percutaneous Endoscopic Approach"
T619,"Repair Tricuspid Valve created from Right Atrioventricular Valve, Percutaneous Approach"
W6111XS,"Introduction of Analgesics, Hypnotics, Sedatives into Epidural Space, Percutaneous Approach"
W268XXD,"Removal of Liner from Right Hip Joint, Open Approach"
S92426A,"Extirpation of Matter from Left Palatine Bone, Percutaneous Approach"
S62609P,"Occlusion of Thorax Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach"
S81059S,"Transfusion of Nonautologous Whole Blood into Products of Conception, Circulatory, Via Natural or Artificial Opening"
S27429,"Fusion of Right Hip Joint with Internal Fixation Device, Percutaneous Approach"
M02371,"Dilation of Hymen with Intraluminal Device, External Approach"
S0590,"Drainage of Lung Lingula with Drainage Device, Percutaneous Endoscopic Approach"
I82B13,"Supplement Right Lower Leg Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach"
S069X5D,"Reposition Coccyx with Internal Fixation Device, Open Approach"
S02641S,"Resection of Tongue, External Approach"
F73,"Revision of Infusion Device in Gastrointestinal Tract, Via Natural or Artificial Opening"
V9334XA,"Bypass Colic Vein to Lower Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
V9524XD,"Fluoroscopy of Superior Mesenteric Artery using Low Osmolar Contrast, Laser Intraoperative"
Y35201A,"Release Ileum, Via Natural or Artificial Opening Endoscopic"
S9412XS,"Revision of Nonautologous Tissue Substitute in Peritoneum, Percutaneous Endoscopic Approach"
O411423,"Restriction of Left Brachial Vein, Percutaneous Approach"
T441X6S,"Supplement Left Upper Leg with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
T8561,"Drainage of Right Radius with Drainage Device, Percutaneous Endoscopic Approach"
T2172XS,"Drainage of Right Eustachian Tube with Drainage Device, Percutaneous Approach"
O262,"Supplement Neck with Synthetic Substitute, Percutaneous Endoscopic Approach"
X948XXS,"Removal of Infusion Device from Abdominal Wall, Open Approach"
S31151,"Removal of Synthetic Substitute from Left Metacarpal, Open Approach"
S82032Q,"Inspection of Diaphragm, Via Natural or Artificial Opening"
S72122F,Stereotactic Particulate Radiosurgery of Soft Palate
D386,"Occlusion of Right Femoral Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
T23309S,"Drainage of Right Lesser Saphenous Vein, Percutaneous Endoscopic Approach, Diagnostic"
S00279D,Magnetic Resonance Imaging (MRI) of Bilateral Renal Arteries
M1464,"Insertion of Internal Fixation Device into Left Humeral Head, Open Approach"
N8112,"Supplement Right Temporal Artery with Autologous Tissue Substitute, Open Approach"
S72132K,"Removal of Autologous Tissue Substitute from Pancreatic Duct, Via Natural or Artificial Opening"
S21209S,"Occlusion of Right Hypogastric Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
Q71,"Skin and Breast, Alteration"
Y37501S,"Transfer Facial Nerve to Hypoglossal Nerve, Open Approach"
T3342,"Drainage of Perineum Subcutaneous Tissue and Fascia with Drainage Device, Open Approach"
S91111D,"Bypass Left Pulmonary Artery from Subclavian with No Device, Open Approach"
O2962,"Restriction of Heart with Extraluminal Device, Percutaneous Endoscopic Approach"
T2840,"Extirpation of Matter from Left Thorax Bursa and Ligament, Percutaneous Approach"
S40262,Fluoroscopy of Left Wrist using Other Contrast
H93223,"Magnetic Resonance Imaging (MRI) of Head using Other Contrast, Unenhanced and Enhanced"
T460X3S,"Replacement of Bilateral Breast with Synthetic Substitute, Percutaneous Approach"
T671XXS,Beam Radiation of Thyroid using Photons 1 - 10 MeV
T17900A,"Imaging, Veins, Plain Radiography"
T25791D,"Removal of Nonautologous Tissue Substitute from Head, Percutaneous Approach"
S96121S,"Repair Right Rib, Open Approach"
S4902,"Extraction of Right Lower Extremity Bursa and Ligament, Open Approach"
H47012,"Destruction of Right Trunk Tendon, Percutaneous Approach"
S62619G,"Dilation of Right Brachial Artery with Intraluminal Device, Open Approach"
S91251S,"Excision of Right Patella, Percutaneous Endoscopic Approach, Diagnostic"
T8362XS,"Dilation of Left Femoral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
S06350S,"Extirpation of Matter from Right Temporal Bone, Open Approach"
T50903D,"Occlusion of Right External Iliac Vein with Intraluminal Device, Open Approach"
L490,"Dilation of Right Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach"
F13951,"Excision of Right Lower Leg Muscle, Percutaneous Approach, Diagnostic"
M62419,"Drainage of Left Vas Deferens, Percutaneous Approach"
F448,"Extirpation of Matter from Right External Iliac Artery, Percutaneous Endoscopic Approach"
S12631,"Dilation of Gastric Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
S52319A,"Revision of Synthetic Substitute in Sternum, Percutaneous Approach"
T497X4S,Osteopathic Treatment of Head using Muscle Energy-Isotonic Forces
C4A30,"Alteration of Left External Ear, External Approach"
S42464B,"Reposition Right Carpal Joint, External Approach"
M67331,"Removal of Spacer from Left Carpal Joint, Percutaneous Endoscopic Approach"
M0507,"Dilation of Right Brachial Vein, Percutaneous Approach"
D830,"Dilation of Right Hand Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
T563X2,"Excision of Jejunum, Open Approach"
S82132H,"Insertion of Other Device into Left Axilla, Percutaneous Endoscopic Approach"
S52365,High Dose Rate (HDR) Brachytherapy of Neck Lymphatics using Palladium 103 (Pd-103)
K8000,Beam Radiation of Colon using Electrons
S1182XS,"Revision of Internal Fixation Device in Right Metacarpal, Percutaneous Approach"
S59012S,"Drainage of Left Humeral Shaft, Percutaneous Approach"
T85623A,"Excision of Glossopharyngeal Nerve, Percutaneous Endoscopic Approach"
S62634D,"Supplement Right Internal Carotid Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
S39013A,"Reattachment of Left Ring Finger, Open Approach"
M8431,"Destruction of Right Neck Muscle, Percutaneous Endoscopic Approach"
J014,"Bypass Cerebral Ventricle to Cerebral Cisterns with Synthetic Substitute, Open Approach"
M8907,"Bypass Splenic Artery to Bilateral Renal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
S52211S,"Insertion of Infusion Device into Pancreas, Percutaneous Endoscopic Approach"
V725XXD,"Supplement Neck with Autologous Tissue Substitute, Open Approach"
S36503,"Drainage of Urethra, External Approach"
H3333,"Revision of Nonautologous Tissue Substitute in Right Tibia, External Approach"
V249XXA,"Destruction of Right External Ear, Open Approach"
W362,"Fusion of Right Metatarsal-Tarsal Joint with Nonautologous Tissue Substitute, Open Approach"
X004XXS,"Inspection of Left Lower Extremity, External Approach"
S52263P,"Insertion of External Fixation Device into Left Acetabulum, Percutaneous Approach"
S65019A,"Drainage of Right Ethmoid Bone with Drainage Device, Percutaneous Endoscopic Approach"
T600X,"Computerized Tomography (CT Scan) of Hepatobiliary System, All using High Osmolar Contrast"
K30,"Insertion of Internal Fixation Device into Left Temporomandibular Joint, Open Approach"
M948X9,"Replacement of Bilateral Breast with Synthetic Substitute, Percutaneous Approach"
Y387X1S,"Replacement of Upper Tooth, Multiple, with Autologous Tissue Substitute, External Approach"
M02319,"Release Right Shoulder Bursa and Ligament, Open Approach"
S52571D,"Fusion of Right Sacroiliac Joint with Nonautologous Tissue Substitute, Open Approach"
T83592,"Insertion of Limb Lengthening External Fixation Device into Right Ulna, Percutaneous Endoscopic Approach"
N047,"Removal of Autologous Tissue Substitute from Lumbosacral Disc, Percutaneous Approach"
H40152,"Drainage of Left Spermatic Cord, Open Approach"
S82192,"Excision of Left Foot Vein, Percutaneous Approach, Diagnostic"
S14152A,"Revision of Spacer in Right Metatarsal-Tarsal Joint, Percutaneous Approach"
S06344S,"Individual Psychotherapy for Substance Abuse Treatment, Behavioral"
S21021S,"Excision of Intracranial Vein, Percutaneous Endoscopic Approach, Diagnostic"
S63491D,"Occlusion of Right Popliteal Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
V0491XA,"Insertion of Infusion Device into Right Brachial Artery, Open Approach"
S61012,"Supplement Left Abdomen Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S0562XA,"Supplement Left Glenoid Cavity with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
M11861,"Excision of Prepuce, Open Approach, Diagnostic"
O318X1,"Dilation of Left Anterior Tibial Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
Q5210,"Reposition Left Diaphragm, Open Approach"
H18049,Low Dose Rate (LDR) Brachytherapy of Thorax Lymphatics using Palladium 103 (Pd-103)
S72061B,"Removal of Synthetic Substitute from Left Pleural Cavity, Percutaneous Approach"
Y36431A,"Drainage of Left External Ear with Drainage Device, Open Approach"
S60419S,"Fusion of Left Shoulder Joint with Nonautologous Tissue Substitute, Open Approach"
S31632A,"Insertion of Radioactive Element into Left Upper Leg, Open Approach"
V713,"Removal of External Fixation Device from Right Femoral Shaft, Percutaneous Approach"
S62141,"Insertion of Internal Fixation Device into Right Carpal Joint, Percutaneous Approach"
S60152A,"Drainage of Right Hand Tendon, Percutaneous Approach, Diagnostic"
S43015,"Drainage of Bladder Neck with Drainage Device, Percutaneous Approach"
V445XXA,Therapeutic Exercise Treatment of Musculoskeletal System - Head and Neck using Mechanical Equipment
S30841S,"Removal of Internal Fixation Device from Left Acromioclavicular Joint, Percutaneous Endoscopic Approach"
M9721XD,"Supplement Left Breast with Synthetic Substitute, Open Approach"
S61149A,"Extirpation of Matter from Lower Artery, Percutaneous Endoscopic Approach"
O2692,"Reposition Left Hip Joint, External Approach"
S60472,"Fragmentation in Left Vitreous, External Approach"
M275,"Revision of Radioactive Element in Mediastinum, External Approach"
S4302,"Replacement of Right Toe Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach"
K742,"Removal of Infusion Device from Left Pleural Cavity, Percutaneous Endoscopic Approach"
H15103,"Magnetic Resonance Imaging (MRI) of Lumbar Spine using Other Contrast, Unenhanced and Enhanced"
T513X4,"Extraction of Right Trunk Bursa and Ligament, Percutaneous Endoscopic Approach"
T43603S,"Introduction of Pigment into Eye, External Approach"
S6152,"Replacement of Common Bile Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S52549G,Magnetic Resonance Imaging (MRI) of Sacrum and Coccyx
S42423P,"Release Right Temporal Bone, Percutaneous Approach"
T23461,"Revision of Artificial Sphincter in Anus, Open Approach"
S32312K,"Restriction of Right Common Iliac Vein, Open Approach"
S0035XS,"Removal of Autologous Tissue Substitute from Right Metacarpocarpal Joint, Percutaneous Endoscopic Approach"
B9681,"Revision of Synthetic Substitute in Thoracic Vertebral Disc, Open Approach"
S52002C,"Removal of Nonautologous Tissue Substitute from Right Temporomandibular Joint, Percutaneous Endoscopic Approach"
S9041,"Destruction of Left Palatine Bone, Percutaneous Approach"
S24143,"Revision of Spacer in Right Acromioclavicular Joint, Percutaneous Approach"
O24419,"Replacement of Right Upper Eyelid with Synthetic Substitute, Percutaneous Approach"
S63271A,Change Intermittent Pressure Device on Left Thumb
T23672,"Drainage of Right Hip Muscle, Open Approach"
E7439,"Restriction of Left Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach"
S85912S,"Removal of Autologous Tissue Substitute from Thoracic Vertebra, Open Approach"
W051XXS,"Repair Thoracic Duct, Percutaneous Endoscopic Approach"
T480X6,"Dilation of Left Internal Carotid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
T443X1D,"Revision of Internal Fixation Device in Left Carpal Joint, External Approach"
G378,"Excision of Left External Auditory Canal, Percutaneous Endoscopic Approach, Diagnostic"
S0562,Beam Radiation of Oropharynx using Photons <1 MeV
H44009,"Assistance with Cardiac Output using Impeller Pump, Continuous"
S82421B,"Transfer Glossopharyngeal Nerve to Trochlear Nerve, Percutaneous Endoscopic Approach"
K51911,"Dilation of Intracranial Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
M1A4721,Plain Radiography of Right Toe(s)
M11849,"Restriction of Right Temporal Artery, Open Approach"
S82442M,"Fluoroscopy of Bilateral Renal Arteries using Other Contrast, Laser Intraoperative"
S7223XN,"Dilation of Sigmoid Colon with Intraluminal Device, Percutaneous Endoscopic Approach"
S72464M,Hyperthermia of Tongue
V9214XD,"Extirpation of Matter from Upper Esophagus, Open Approach"
T7622,"Division of Buttock Subcutaneous Tissue and Fascia, Open Approach"
T7804XS,"Reposition Right Anterior Tibial Artery, Open Approach"
J4520,"Revision of Spacer in Left Elbow Joint, Percutaneous Endoscopic Approach"
R77,Computerized Tomography (CT Scan) of Intracranial Sinuses using Intravascular Optical Coherence
N8312,"Extirpation of Matter from Superior Mesenteric Artery, Open Approach"
V419XXD,"Drainage of Left Foot Muscle with Drainage Device, Percutaneous Approach"
T531X4A,"Removal of Drainage Device from Vagina and Cul-de-sac, Percutaneous Endoscopic Approach"
V676XXD,"Revision of Nonautologous Tissue Substitute in Left Metacarpocarpal Joint, Open Approach"
I70321,"Dilation of Hepatic Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
T17410A,"Irrigation of Female Reproductive using Irrigating Substance, Via Natural or Artificial Opening"
S72452N,"Removal of Infusion Device from Lower Jaw, Percutaneous Endoscopic Approach"
V9116XS,"Bypass Duodenum to Duodenum with Synthetic Substitute, Open Approach"
S63299S,"Insertion of Spacer into Left Elbow Joint, Percutaneous Approach"
A0681,"Restriction of Splenic Vein, Percutaneous Endoscopic Approach"
S60011D,"Release Left Lower Arm Subcutaneous Tissue and Fascia, Open Approach"
T22599S,"Dilation of Left Foot Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
H2129,"Removal of Infusion Device from Left Shoulder Joint, Open Approach"
S82391P,"Restriction of Left Cephalic Vein with Intraluminal Device, Percutaneous Approach"
S2097XA,Low Dose Rate (LDR) Brachytherapy of Stomach using Californium 252 (Cf-252)
S82842N,"Inspection of Pineal Body, Percutaneous Endoscopic Approach"
S65801A,"Replacement of Left Lower Leg Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach"
S90425,"Drainage of Ampulla of Vater, Percutaneous Endoscopic Approach"
F1396,"Dilation of Right Greater Saphenous Vein with Intraluminal Device, Percutaneous Approach"
T82534S,"Dilation of Middle Esophagus, Via Natural or Artificial Opening Endoscopic"
C92A0,"Dilation of Right Femoral Artery with Drug-eluting Intraluminal Device, Open Approach"
R402212,"Replacement of Hepatic Vein with Synthetic Substitute, Open Approach"
S34125D,"Excision of Left Vocal Cord, Percutaneous Approach, Diagnostic"
O3440,"Repair Right Vocal Cord, Percutaneous Approach"
S55009D,"Fusion of Occipital-cervical Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach"
S90819A,"Fusion of Lumbosacral Joint, Posterior Approach, Anterior Column, Open Approach"
Y37000D,"Excision of Upper Back, Percutaneous Approach"
M84344A,"Supplement Thoracic Aorta, Descending with Nonautologous Tissue Substitute, Percutaneous Approach"
T461X5,"Removal of Feeding Device from Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
S89292K,"Extirpation of Matter from Left Kidney Pelvis, Percutaneous Approach"
M1122,"Supplement Right Palatine Bone with Synthetic Substitute, Open Approach"
S14137D,"Extirpation of Matter from Esophagus, Via Natural or Artificial Opening Endoscopic"
S064X6S,Plain Radiography of Thoracic Disc(s)
S52515D,"Revision of Autologous Tissue Substitute in Left Ear, Via Natural or Artificial Opening"
S61529A,"Removal of Synthetic Substitute from Upper Back, Percutaneous Approach"
S30826,"Destruction of Right Upper Arm Subcutaneous Tissue and Fascia, Percutaneous Approach"
J690,"Removal of Infusion Device from Pancreatic Duct, Open Approach"
O0483,"Division of Left Occipital Bone, Open Approach"
S72021H,"Drainage of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic"
M84549P,"Drainage of Uvula, External Approach"
S62398S,"Extirpation of Matter from Right Foot Subcutaneous Tissue and Fascia, Percutaneous Approach"
S92533,Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Gallium 67 (Ga-67)
S3143XS,"Excision of Left Foot Muscle, Percutaneous Approach, Diagnostic"
M243,"Replacement of Lumbosacral Disc with Nonautologous Tissue Substitute, Open Approach"
T17828D,"Drainage of Right Foot Skin with Drainage Device, External Approach"
T22069S,"Reposition Right Finger Phalangeal Joint with External Fixation Device, Percutaneous Endoscopic Approach"
O9912,"Removal of Drainage Device from Bone Marrow, Percutaneous Approach"
S53093D,"Inspection of Right Extraocular Muscle, Open Approach"
E71313,"Insertion of Internal Fixation Device into Left Carpal, Percutaneous Endoscopic Approach"
S42491K,"Drainage of Facial Muscle with Drainage Device, Percutaneous Endoscopic Approach"
Z974,"Revision of Infusion Device in Left Metatarsal-Tarsal Joint, Percutaneous Approach"
S76299A,"Release Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach"
A5429,"Repair Left Large Intestine, Via Natural or Artificial Opening"
S078XXD,"Restriction of Ascending Colon, Via Natural or Artificial Opening Endoscopic"
L0302,"Control Bleeding in Left Upper Leg, Open Approach"
T582X1,"Bypass Left Femoral Vein to Lower Vein with Synthetic Substitute, Open Approach"
S85319D,"Insertion of Infusion Device into Right Peroneal Artery, Percutaneous Approach"
S63294,"Revision of Infusion Device in Left Knee Joint, Percutaneous Endoscopic Approach"
Y384X,Immobilization of Neck using Cast
S82133,"Repair Left Upper Lung Lobe, Percutaneous Endoscopic Approach"
M10329,"Fusion of 2 or more Lumbar Vertebral Joints, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
S06819D,"Drainage of Upper Vein with Drainage Device, Open Approach"
T454X6,"Drainage of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
S82432F,"Extirpation of Matter from Right Renal Artery, Bifurcation, Open Approach"
S73024A,"Restriction of Right Common Iliac Vein with Intraluminal Device, Percutaneous Approach"
T43625,"Repair Skull, Percutaneous Approach"
S72443B,"Reposition Right Hand Artery, Open Approach"
V272XXS,Oral Peripheral Mechanism Assessment using Other Equipment
S15229D,"Extirpation of Matter from Intracranial Artery, Percutaneous Endoscopic Approach"
L0281,"Reattachment of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach"
W504XXA,"Revision of Autologous Tissue Substitute in Prostate and Seminal Vesicles, Via Natural or Artificial Opening"
O411412,"Repair Left Greater Saphenous Vein, Open Approach"
M0232,"Extraction of Left Thorax Bursa and Ligament, Percutaneous Endoscopic Approach"
S62516P,"Revision of Internal Fixation Device in Left Tibia, Open Approach"
S62516P,"Revision of Internal Fixation Device in Left Tibia, Open Approach"
T61771,"Replacement of Left Foot Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S52501A,"Revision of Synthetic Substitute in Coccyx, Open Approach"
S62161G,"Restriction of Esophagogastric Junction, Percutaneous Approach"
V0031,"Bypass Lower Esophagus to Jejunum, Via Natural or Artificial Opening Endoscopic"
T422X2D,"Release Right Temporal Bone, Open Approach"
M84663S,"Supplement Left Carpal Joint with Autologous Tissue Substitute, Percutaneous Approach"
Q74,"Release Right Main Bronchus, Percutaneous Approach"
S42211G,"Monitoring of Arterial Flow, Peripheral, External Approach"
S31541A,"Drainage of Right Hypogastric Vein, Percutaneous Endoscopic Approach, Diagnostic"
Q2543,"Dilation of Right Temporal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
M90541,"Drainage of Lower Vein, Percutaneous Approach, Diagnostic"
S0266XA,"Destruction of Esophagogastric Junction, Open Approach"
S09312S,"Dilation of Left External Carotid Artery, Open Approach"
T85730D,"Alteration of Left External Ear with Nonautologous Tissue Substitute, Open Approach"
S82109H,Range of Motion and Joint Integrity Assessment of Integumentary System - Head and Neck
M84756S,"Revision of Extraluminal Device in Upper Artery, Open Approach"
I82413,"Replacement of Right Hand Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
D165,"Drainage of Pudendal Nerve, Open Approach"
T438X,"Bypass Abdominal Aorta to Left Femoral Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
M8440XG,"Bypass Right Common Iliac Artery to Right Common Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
H3500,"Revision of Nonautologous Tissue Substitute in Upper Artery, Percutaneous Approach"
S4639,"Supplement Right Lacrimal Duct with Nonautologous Tissue Substitute, Percutaneous Approach"
S52021B,"Beam Radiation of Gallbladder using Electrons, Intraoperative"
S6982XS,"Drainage of Right Finger Phalangeal Joint, Percutaneous Endoscopic Approach"
V9083XS,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
N83522,"Bypass Accessory Pancreatic Duct to Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach"
I790,"Reposition Right Tibia with Intramedullary Internal Fixation Device, Percutaneous Approach"
S6014,"Restriction of Common Bile Duct, Via Natural or Artificial Opening Endoscopic"
M71039,"Extirpation of Matter from Left Neck Muscle, Percutaneous Endoscopic Approach"
S02111G,"Reposition Left Finger Phalanx, Percutaneous Endoscopic Approach"
S72464C,"Restriction of Right Renal Artery, Percutaneous Approach"
S72009F,Compression of Right Thumb using Pressure Dressing
T698XXA,Computerized Tomography (CT Scan) of Larynx using High Osmolar Contrast
S46122S,Plain Radiography of Cervical Facet Joint(s) using Low Osmolar Contrast
M92291,"Inspection of Left Buttock, Open Approach"
S66316A,Change Pressure Dressing on Right Upper Leg
S83196,"Dilation of Right Vas Deferens, Open Approach"
W898XXS,"Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach"
R1903,"Excision of Basal Ganglia, Percutaneous Approach, Diagnostic"
S89229A,"Extraction of Right Foot Skin, External Approach"
M84511K,"Insertion of Internal Fixation Device into Left Upper Femur, Open Approach"
S72452B,"Revision of Drainage Device in Abdominal Wall, Percutaneous Approach"
S85111D,"Dilation of Middle Colic Artery with Three Intraluminal Devices, Percutaneous Approach"
S82421G,"Division of Right Abdomen Tendon, Open Approach"
Z810,"Revision of Internal Fixation Device in Left Lower Femur, Percutaneous Approach"
T8451,"Removal of Spacer from Thoracolumbar Vertebral Joint, Open Approach"
V9036XD,"Destruction of Left Diaphragm, Percutaneous Endoscopic Approach"
T22339S,"Transfer Glossopharyngeal Nerve to Accessory Nerve, Open Approach"
F341,"Fusion of Cervical Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Approach"
S52592N,"Occlusion of Azygos Vein with Intraluminal Device, Percutaneous Approach"
S36530D,"Removal of Infusion Device from Genitourinary Tract, Percutaneous Endoscopic Approach"
S82232N,"Reposition Coccyx with Internal Fixation Device, Percutaneous Endoscopic Approach"
H72819,"Drainage of Abdominal Aorta, Percutaneous Approach, Diagnostic"
S82111N,"Fluoroscopy of Bilateral Upper Extremity Arteries using Other Contrast, Laser Intraoperative"
T46993,"Extirpation of Matter from Right Kidney, Open Approach"
H8010,"Bypass Left Common Iliac Artery to Left External Iliac Artery with Autologous Arterial Tissue, Open Approach"
H818X2,"Transplantation of Lung Lingula, Zooplastic, Open Approach"
M84662A,"Excision of Cerebral Ventricle, Percutaneous Approach"
S52312A,"Extirpation of Matter from Left Tarsal, Percutaneous Endoscopic Approach"
H6012,"Inspection of Left Metatarsal-Phalangeal Joint, Open Approach"
S83221,"Dilation of Celiac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach"
R1911,"Fragmentation in Trachea, Percutaneous Endoscopic Approach"
M85531,"Removal of Radioactive Element from Respiratory Tract, Percutaneous Approach"
T440X6A,"Reposition Left Pelvic Bone with External Fixation Device, Percutaneous Approach"
S72433R,"Revision of Other Device in Female Perineum, External Approach"
